"favorite_count","retweet_count","hashtags_cant","media_url_cant","mentions_cant","reply_to_status","followers_count","friends_count","statuses_count","favourites_count","account_lang","source","popular"
0,2,0,0,0,0,1109530,396,2730505,14809,"es","TweetDeck","si"
0,2,0,0,0,0,1109530,396,2730505,14809,"es","TweetDeck","si"
0,0,0,0,0,0,989,871,24262,19339,"es","Twitter for Android","no"
0,0,0,0,0,0,445,447,8314,4823,"es","Twitter for Android","no"
0,0,0,0,0,0,2245,1358,26382,7158,"es","Twitter for iPhone","no"
0,0,0,0,0,0,679,610,31307,10828,"es","Twitter for Android","no"
1,0,0,0,2,1,292,1220,12958,5480,"es","Twitter for Android","no"
3,0,1,1,0,0,4817387,3103,1192109,598,"es","TweetDeck","si"
3,0,1,1,0,0,4817387,3103,1192109,598,"es","TweetDeck","si"
3,0,1,1,0,0,4817387,3103,1192109,598,"es","TweetDeck","si"
0,0,1,1,0,0,4817387,3103,1192109,598,"es","TweetDeck","si"
0,0,1,1,0,0,4817387,3103,1192109,598,"es","TweetDeck","si"
0,0,1,1,0,0,4817387,3103,1192109,598,"es","TweetDeck","si"
2,0,1,1,0,0,4817387,3103,1192109,598,"es","TweetDeck","si"
2,0,1,1,0,0,4817387,3103,1192109,598,"es","TweetDeck","si"
2,0,1,1,0,0,4817387,3103,1192109,598,"es","TweetDeck","si"
0,0,0,1,0,0,365,99,10124,978,"es","Twitter for Android","no"
0,0,0,0,0,0,567,340,159095,14472,"en-gb","Twitter for Android","no"
0,0,0,0,0,0,725,260,26379,3789,"es","Twitter for Android","no"
0,0,0,0,3,1,116,1165,604,196,"es","Twitter Web Client","no"
0,0,0,0,0,0,2287,1091,82017,29821,"es","Twitter Lite","no"
0,0,0,0,0,0,337,228,61909,3392,"es","Twitter for Android","no"
0,0,0,0,0,0,1718,519,101574,4726,"es","TweetDeck","no"
0,0,0,0,0,0,456,380,12431,11042,"es","Twitter for Android","no"
0,0,0,0,0,0,822,365,31168,5108,"es","Twitter for Android","no"
0,0,0,1,0,0,281,261,9346,1408,"es","Twitter for Android","no"
1,0,0,0,0,0,1139,1094,5317,2305,"es","Twitter for Android","no"
0,0,0,0,0,0,1724,1693,12352,6270,"es","Twitter for Android","no"
2,6,2,1,0,0,174963,159,19618,1778,"es","Twitter for Android","no"
9,0,0,0,0,0,23463,1513,70807,44665,"es","Twitter for Android","no"
2,0,0,0,2,1,1734,414,15772,17054,"es","Twitter for iPhone","no"
0,0,0,0,0,0,2076,2791,8064,1117,"es","Twitter for Android","no"
0,0,0,0,1,0,2370,2628,27361,11728,"es","Twitter for Android","no"
5,3,0,0,0,0,4740,4407,94712,6569,"es","Twitter for Android","no"
2,0,0,0,0,0,7832,1671,133518,131701,"es","Twitter Web Client","no"
0,0,0,0,0,0,374,189,33130,521,"es","Twitter for iPhone","no"
0,0,0,0,0,0,1119,411,94107,11468,"es","Twitter for Android","no"
1,0,0,1,0,0,490,523,6177,3856,"es","Twitter Lite","no"
4,0,0,0,0,0,1529,312,118007,149228,"es","TweetDeck","no"
0,0,0,0,0,0,564,478,57361,1172,"es","Twitter for iPhone","no"
2,0,0,0,0,0,546,174,43170,1529,"es","Twitter for Android","no"
0,0,0,0,0,0,355,279,18645,10611,"es","Twitter for Android","no"
0,0,0,0,0,0,2051,1463,21362,3639,"es","Twitter Lite","no"
0,0,0,0,0,0,123,222,2346,762,"es","Twitter for iPhone","no"
0,0,1,0,0,0,82275,35012,961701,2330,"es","Twitter Web Client","no"
0,0,1,0,0,0,82275,35012,961701,2330,"es","Twitter Web Client","no"
0,0,1,0,0,0,82275,35012,961701,2330,"es","Twitter Web Client","no"
0,0,1,0,0,0,82275,35012,961701,2330,"es","Twitter Web Client","no"
0,0,0,0,0,0,235,305,1940,4532,"es","Twitter Lite","no"
1,0,0,0,0,0,1676,1505,59884,13382,"es","Twitter for iPhone","no"
0,1,0,0,0,0,1000,600,8117,8509,"es","Twitter for Android","no"
0,0,0,0,1,1,629,191,66003,13276,"en","Twitter for iPhone","no"
0,0,0,0,1,1,512,519,21976,3427,"es","Twitter for iPhone","no"
0,0,0,0,0,0,2794,2296,65487,30459,"es","Twitter for iPhone","no"
0,0,0,0,0,0,2494,2581,23996,8916,"es","Mobile Web (M2)","no"
0,0,0,0,0,0,18,268,107,89,"es","Twitter for Android","no"
1,0,0,0,0,0,801,350,16285,6539,"es","Twitter for iPhone","no"
0,1,0,0,0,0,749,547,28348,8673,"es","Twitter for Android","no"
0,0,0,0,1,1,3824,1766,26838,4452,"es","Twitter for Android","no"
0,0,0,0,0,0,430,396,18853,3080,"es","Twitter Lite","no"
0,0,0,0,0,0,1320,53,50019,188,"es","Instagram","no"
1,0,0,1,0,0,151,338,4313,1588,"es","Twitter for Android","no"
0,0,0,0,0,0,164,269,3737,442,"es","Twitter for Android","no"
0,0,0,0,0,0,492,235,21448,932,"es","Twitter for Android","no"
1,1,1,0,6,0,9590,1306,86315,57291,"es","Twitter for iPhone","no"
1,1,1,0,6,0,9590,1306,86315,57291,"es","Twitter for iPhone","no"
0,2,2,0,4,0,9590,1306,86315,57291,"es","Twitter for iPhone","no"
0,2,2,0,4,0,9590,1306,86315,57291,"es","Twitter for iPhone","no"
0,0,0,0,0,0,2113,548,19783,597,"es","Twitter for Android","no"
0,0,2,1,0,0,650,897,4439,1760,"es","Buffer","no"
1,0,0,0,0,0,622,406,15255,16280,"es","Twitter for iPhone","no"
0,0,0,0,0,0,356,573,11122,1881,"es","Twitter for iPhone","no"
2,0,0,1,0,0,684,589,30153,11368,"es","Twitter for Android","no"
0,0,0,0,0,0,1801,1791,27530,10095,"es","Twitter for Android","no"
0,0,0,0,0,0,241,206,9203,1689,"es","Twitter for Android","no"
2,0,0,0,0,0,411,249,3780,4295,"es","Twitter for iPhone","no"
2,0,0,0,0,0,1505,893,20705,36405,"en-gb","Twitter for Android","no"
0,0,0,0,0,0,1200,979,54995,4191,"es","Twitter for Android","no"
